title,type,rated,year,added_at,genre,language,country,imdb_rating
10 Things I Hate About You,movie,PG-13,1999,"November 12, 2019","Comedy, Drama, Romance","English, French",USA,7.3
101 Dalmatians,movie,G,1996,"November 12, 2019","Adventure, Comedy, Crime, Family","English, Spanish","USA, UK",5.7
101 Dalmatians 2: Patch's London Adventure,movie,G,2002,"November 12, 2019","Animation, Adventure, Comedy, Family, Musical",English,USA,5.8
102 Dalmatians,movie,G,2000,"November 12, 2019","Adventure, Comedy, Family",English,"USA, UK",4.9
12 Dates of Christmas,movie,PG,2011,"November 12, 2019","Comedy, Fantasy, Romance",English,USA,6.3
"20,000 Leagues Under the Sea",movie,G,1954,"November 12, 2019","Adventure, Drama, Family, Fantasy, Sci-Fi",English,USA,7.2
A Bug's Life,movie,G,1998,"November 12, 2019","Animation, Adventure, Comedy, Family",English,USA,7.2
A Goofy Movie,movie,G,1995,"November 12, 2019","Animation, Adventure, Comedy, Family, Musical, Romance",English,"USA, Australia, France, Canada",6.8
A Kid in King Arthur's Court,movie,PG,1995,"November 12, 2019","Adventure, Comedy, Family, Fantasy, Romance",English,"USA, Hungary, UK",4.7
A Knight for a Day,movie,APPROVED,1946,"November 12, 2019","Animation, Short, Comedy",English,USA,7.0
A Ring of Endless Light,movie,TV-G,2002,"November 12, 2019","Drama, Family, Romance",English,USA,6.1
A Tale of Two Critters,movie,G,1977,"April 3, 2020","Adventure, Family",English,USA,7.1
A Wrinkle in Time,movie,PG,2018,"March 25, 2020","Adventure, Family, Fantasy, Sci-Fi",English,USA,4.2
Aladdin,movie,PG,2019,"January 8, 2020","Adventure, Family, Fantasy, Musical, Romance","English, Arabic",USA,7.0
Aladdin,movie,G,1992,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,8.0
Aladdin and the King of Thieves,movie,Not Rated,1996,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,6.4
Aladdin and the Return of Jafar,movie,G,1994,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,5.9
Alice in Wonderland,movie,G,1951,"November 12, 2019","Animation, Adventure, Family, Fantasy, Musical",English,USA,7.4
Alice in Wonderland,movie,PG,2010,"November 12, 2019","Adventure, Family, Fantasy",English,USA,6.4
Aliens of the Deep,movie,G,2005,"November 12, 2019","Documentary, Family",English,USA,6.4
All in a Nutshell,movie,Approved,1949,"April 3, 2020","Family, Comedy, Animation, Short",English,USA,7.6
Alley Cats Strike,movie,TV-G,2000,"November 12, 2019","Drama, Family, Sport",English,"USA, Canada",6.2
Almost Angels,movie,Not Rated,1962,"November 12, 2019","Comedy, Family, Music",English,USA,7.1
America's Funniest Home Videos,series,TV-PG,1989–,"April 24, 2020","Comedy, Family, Reality-TV",English,USA,6.2
America's Heart & Soul,movie,PG,2004,"November 12, 2019",Documentary,English,USA,4.8
America's National Parks,series,TV-G,2015–,"January 15, 2020",Documentary,English,USA,7.9
Amy,movie,G,1981,"November 12, 2019","Family, Drama","English, American Sign Language",USA,6.6
An Extremely Goofy Movie,movie,G,2000,"November 12, 2019","Animation, Comedy, Family, Sport",English,"USA, Australia",6.4
Andi Mack,series,TV-G,2017–2019,"November 12, 2019","Comedy, Family",English,USA,7.3
Annie,movie,UNRATED,1999,"November 12, 2019","Family, Comedy, Musical",English,USA,6.7
Apollo: Missions to the Moon,movie,Not Rated,2019,"November 12, 2019",History,English,USA,7.7
Around the World in 80 Days,movie,PG,2004,"February 1, 2020","Action, Adventure, Comedy, Family, Western","English, Cantonese, French, German, Hindi, Turkish","USA, Germany, Ireland, UK",5.9
Atlantis: Milo's Return,movie,G,2003,"November 12, 2019","Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi","Norwegian, English",USA,5.1
Atlantis: The Lost Empire,movie,PG,2001,"November 12, 2019","Animation, Action, Adventure, Family, Fantasy, Sci-Fi","English, French, Spanish",USA,6.9
Austin & Ally,series,TV-G,2011–2016,"January 1, 2020","Comedy, Family, Music",English,USA,5.9
Avatar,movie,PG-13,2009,"November 12, 2019","Action, Adventure, Fantasy, Sci-Fi","English, Spanish",USA,7.8
Babes in the Woods,movie,Approved,1932,"November 12, 2019","Family, Animation, Short, Comedy",English,USA,6.8
Babes in Toyland,movie,Approved,1961,"November 12, 2019","Comedy, Family, Fantasy, Musical, Romance",English,USA,6.3
Bambi,movie,G,1942,"November 12, 2019","Animation, Drama, Family",English,USA,7.3
Bambi and the Great Prince of the Forest,movie,G,2006,"November 12, 2019","Animation, Adventure, Drama, Family, Romance",English,USA,6.1
Bao,movie,G,2018,"November 12, 2019","Animation, Short, Family, Fantasy","Chinese, English","USA, Canada",7.5
Beach Picnic,movie,Approved,1939,"November 12, 2019","Animation, Family, Comedy, Short",English,USA,6.7
Beauty and the Beast,movie,G,1991,"November 12, 2019","Animation, Family, Fantasy, Musical, Romance","English, French",USA,8.0
Belle's Magical World,movie,G,1998,"November 12, 2019","Animation, Comedy, Family, Fantasy, Musical, Romance",English,USA,5.4
Beauty and the Beast: The Enchanted Christmas,movie,G,1997,"November 12, 2019","Animation, Family, Fantasy, Music, Musical",English,"Canada, USA",6.1
Because of Winn-Dixie,movie,PG,2005,"February 14, 2020","Comedy, Drama, Family",English,USA,6.3
Bedknobs and Broomsticks,movie,G,1971,"October 1, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical","English, German",USA,7.1
Bedtime Stories,movie,PG,2008,"March 5, 2020","Comedy, Family, Fantasy, Romance",English,USA,6.0
Before the Flood,movie,PG,2016,"November 12, 2019",Documentary,English,USA,8.3
Benji the Hunted,movie,G,1987,"November 12, 2019","Adventure, Family",English,USA,6.3
Best Friends Whenever,series,TV-G,2015–2016,"November 12, 2019","Comedy, Family, Sci-Fi",English,USA,5.5
Big Business,movie,PG,1988,"February 1, 2020",Comedy,"English, Italian",USA,6.4
Big City Greens,series,TV-Y7,2018–,"November 12, 2019","Animation, Short, Adventure, Comedy, Family",English,USA,6.6
Big Hero 6,movie,PG,2014,"November 12, 2019","Animation, Action, Adventure, Family, Sci-Fi",English,USA,7.8
Blackbeard's Ghost,movie,Approved,1968,"October 1, 2019","Comedy, Family, Fantasy",English,USA,6.9
Blank Check,movie,PG,1994,"November 12, 2019","Comedy, Crime, Family",English,USA,5.3
Bluey,series,TV-Y,2018–,"January 22, 2020",Animation,English,"Australia, UK",9.7
Bolt,movie,PG,2008,"November 12, 2019","Animation, Adventure, Comedy, Drama, Family",English,USA,6.8
Bonkers,series,TV-Y,1993–1994,"November 12, 2019","Animation, Action, Adventure, Comedy, Crime, Family",English,USA,6.8
Boundin',movie,G,2003,"November 12, 2019","Animation, Short, Comedy, Family, Musical",English,USA,7.0
Boy Meets World,series,TV-G,1993–2000,"November 12, 2019","Comedy, Drama, Family",English,USA,8.1
Brain Games,series,TV-G,2011–,"November 12, 2019","Documentary, Comedy, Drama, Game-Show, Reality-TV",English,USA,8.3
Brave,movie,PG,2012,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy",English,"USA, UK",7.1
The Brave Little Toaster to the Rescue,movie,Not Rated,1997,"November 12, 2019","Animation, Adventure, Family, Fantasy","Chinese, Mandarin, Japanese, Korean, French, English",USA,6.3
Brink!,movie,TV-G,1998,"November 12, 2019","Drama, Family, Sport",English,USA,7.1
Brother Bear,movie,G,2003,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy","English, Inuktitut, Croatian, Serbian",USA,6.8
Brother Bear 2,movie,G,2006,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy",English,USA,6.2
Buffalo Dreams,movie,G,2005,"November 12, 2019",Family,English,USA,5.8
Burn-E,movie,G,2008,"November 12, 2019","Animation, Short, Adventure, Comedy, Family, Sci-Fi",English,USA,7.7
Cadet Kelly,movie,TV-G,2002,"November 12, 2019","Comedy, Drama, Family",English,"USA, Canada",5.5
Camp Nowhere,movie,PG,1994,"November 12, 2019","Adventure, Comedy, Family",English,USA,6.1
Camp Rock,movie,TV-G,2008,"November 12, 2019","Comedy, Family, Music, Musical, Romance","English, Portuguese",USA,5.2
Camp Rock 2: The Final Jam,movie,TV-G,2010,"November 12, 2019","Comedy, Family, Music, Musical, Romance",English,USA,5.2
Can of Worms,movie,TV-PG,1999,"November 12, 2019","Comedy, Family, Sci-Fi",English,"USA, Canada",5.0
Candleshoe,movie,G,1977,"November 12, 2019","Adventure, Comedy, Drama, Family",English,"UK, USA",6.8
Cars,movie,G,2006,"November 12, 2019","Animation, Comedy, Family, Sport","English, Italian, Japanese, Yiddish",USA,7.1
Cars 2,movie,G,2011,"November 12, 2019","Animation, Adventure, Comedy, Family, Sport","English, Japanese, Italian, French",USA,6.1
Cars 3,movie,G,2017,"November 12, 2019","Animation, Adventure, Comedy, Family, Sport",English,USA,6.7
Rescue Squad Mater,episode,NOT RATED,2008,"January 1, 2020","Animation, Adventure, Comedy",English,USA,6.3
Tokyo Mater,movie,G,2008,"January 1, 2020","Animation, Short, Action, Adventure, Comedy, Family",English,USA,6.6
Casebusters,episode,Unrated,1986,"November 12, 2019","Adventure, Biography, Drama",English,USA,5.9
Cheaper by the Dozen,movie,PG,2003,"February 14, 2020","Comedy, Family",English,USA,5.9
Cheetah,movie,G,1989,"November 12, 2019","Adventure, Family",English,USA,6.1
Chef Donald,movie,Approved,1941,"November 12, 2019","Animation, Short, Comedy, Family",English,USA,7.3
Chicken Little,movie,G,2005,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,USA,5.7
Chip 'n' Dale Rescue Rangers,series,TV-Y,1988–1990,"November 12, 2019","Animation, Adventure, Comedy, Family, Mystery",English,"USA, Taiwan, South Korea, China, Japan, UK",7.6
Chip an' Dale,movie,Approved,1947,"November 12, 2019","Animation, Short, Comedy, Family",English,USA,7.4
Cinderella,movie,G,1950,"November 12, 2019","Animation, Family, Fantasy, Musical, Romance",English,USA,7.3
Cinderella 2: Dreams Come True,movie,G,2001,"November 12, 2019","Animation, Family, Fantasy, Romance",English,USA,5.0
Cinderella 3: A Twist in Time,movie,G,2007,"November 12, 2019","Animation, Family, Fantasy, Musical, Romance",English,USA,5.9
Clock Cleaners,movie,Approved,1937,"November 12, 2019","Animation, Short, Comedy, Family",English,USA,7.5
Cloud 9,movie,TV-G,2014,"November 12, 2019","Action, Adventure, Drama, Family, Sport",English,USA,6.6
Coco,movie,PG,2017,"November 29, 2019","Animation, Adventure, Family, Fantasy, Music, Mystery","English, Spanish",USA,8.4
College Road Trip,movie,G,2008,"November 12, 2019","Adventure, Comedy, Drama, Family",English,USA,4.3
Confessions of a Teenage Drama Queen,movie,PG,2004,"November 12, 2019","Comedy, Family, Music, Romance",English,"Germany, USA",4.6
Cool Runnings,movie,PG,1993,"January 1, 2020","Adventure, Comedy, Family, History, Sport","English, German, Russian",USA,7.0
Coop and Cami Ask the World,series,TV-G,2018–,"November 12, 2019","Adventure, Comedy, Family",English,USA,5.7
Corn Chips,movie,APPROVED,1951,"November 12, 2019","Family, Animation, Comedy",English,USA,7.4
Cow Belles,movie,TV-G,2006,"November 12, 2019","Comedy, Family, Romance",English,USA,5.2
Dadnapped,movie,TV-G,2009,"November 12, 2019","Action, Adventure, Comedy, Crime, Family",English,USA,4.9
Darby O'Gill and the Little People,movie,Approved,1959,"November 12, 2019","Adventure, Family, Fantasy, Romance","English, Irish",USA,7.2
Darkwing Duck,series,TV-Y7,1991–1992,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Mystery, Sci-Fi",English,USA,7.6
Davy Crockett and the River Pirates,movie,Approved,1956,"November 12, 2019","Adventure, Comedy, Drama, Family, Western",English,USA,6.8
Davy Crockett: King of the Wild Frontier,movie,Approved,1955,"November 12, 2019","Adventure, Drama, Family, Western","English, Spanish",USA,7.0
Day & Night,movie,G,2010,"November 12, 2019","Animation, Short, Comedy, Family, Fantasy",English,USA,8.1
Deep Blue,movie,G,2003,"November 12, 2019",Documentary,English,"UK, Germany",7.4
Descendants 2,movie,TV-G,2017,"November 12, 2019","Action, Adventure, Family, Fantasy, Romance",English,USA,6.5
Descendants 3,movie,TV-G,2019,"February 2, 2020","Adventure, Family, Musical",English,USA,6.7
Destino,movie,PG,2003,"January 10, 2020","Animation, Short",English,"France, USA",7.9
Diary of a Future President,series,TV-PG,2020–,"January 17, 2020","Comedy, Family",English,USA,5.5
Diary of a Wimpy Kid,movie,PG,2010,"November 12, 2019","Comedy, Drama, Family","English, German","USA, UK",6.2
Dinosaur,movie,PG,2000,"November 12, 2019","Animation, Adventure, Family, Thriller",English,USA,6.5
Adventures in Babysitting,movie,TV-G,2016,"November 12, 2019","Adventure, Comedy, Family",English,USA,6.0
Amphibia,series,TV-Y7,2019–,"November 12, 2019","Animation, Short, Adventure, Comedy, Family, Fantasy",English,USA,7.8
Avalon High,movie,TV-G,2010,"November 12, 2019","Drama, Family, Fantasy",English,USA,5.7
Bad Hair Day,movie,TV-G,2015,"November 12, 2019","Adventure, Comedy, Family",English,Canada,6.0
Big Hero 6: The Series,series,TV-Y7,2017–,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Sci-Fi",English,USA,7.1
Bizaardvark,series,TV-G,2016–2019,"November 12, 2019","Comedy, Family",English,USA,3.5
Den Brother,movie,Not Rated,2010,"November 12, 2019","Family, Romance, Sport",English,USA,5.4
Descendants,movie,TV-G,2015,"November 12, 2019","Comedy, Family, Fantasy, Musical",English,USA,6.4
Girl Vs. Monster,movie,TV-PG,2012,"November 12, 2019","Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,"USA, Canada",5.5
Gravity Falls,series,TV-Y7,2012–2016,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi",English,USA,8.9
I Didn't Do It,series,TV-G,2014–2015,"March 20, 2020","Comedy, Drama, Family",English,USA,6.0
Jake and the Never Land Pirates,series,TV-Y,2011–2016,"November 12, 2019","Animation, Adventure, Family, Fantasy",English,USA,5.6
K.C. Undercover,series,TV-Y7,2015–2018,"November 12, 2019","Action, Comedy, Family",English,USA,6.1
Legend of the Three Caballeros,series,TV-G,2018–,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy",English,USA,7.8
Mickey Mouse Clubhouse,series,TV-Y,2006–2016,"November 12, 2019","Animation, Comedy, Family, Fantasy, Musical",English,USA,5.7
Milo Murphy's Law,series,TV-Y7,2016–,"November 12, 2019","Animation, Short, Action, Adventure, Comedy, Family, Fantasy",English,USA,7.5
Phineas and Ferb: Star Wars,episode,TV-G,2014,"February 28, 2020","Animation, Action, Comedy, Family, Musical, Sci-Fi","English, Brazilian Sign Language",USA,8.2
Randy Cunningham: 9th Grade Ninja,series,TV-G,2012–2015,"January 15, 2020","Animation, Short, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,"UK, USA, Ireland",6.7
Raven's Home,series,TV-G,2017–,"November 12, 2019","Comedy, Family",English,USA,7.4
Star vs. the Forces of Evil,series,TV-Y7,2015–2019,"December 1, 2019","Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi, Thriller",English,USA,8.0
Stuck in the Middle,series,TV-G,2016–2018,"November 12, 2019","Comedy, Family",English,USA,5.9
Sydney to the Max,series,TV-G,2019–,"November 12, 2019","Comedy, Family",English,USA,6.1
Take Two with Phineas and Ferb,series,TV-G,2010–,"November 12, 2019","Animation, Comedy, Family, Talk-Show",English,USA,6.5
The Lion Guard,series,TV-Y,2016–,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Fantasy, Music",English,USA,6.4
Vampirina,series,TV-Y,2017–,"November 12, 2019","Animation, Short, Comedy, Family, Fantasy, Musical",English,"Ireland, USA",6.8
Adventures of the Gummi Bears,series,TV-Y,1985–1991,"November 12, 2019","Animation, Family, Fantasy",English,USA,7.5
DuckTales,series,TV-G,1987–1990,"November 12, 2019","Animation, Adventure, Comedy, Family",English,USA,8.1
Hercules,series,TV-Y,1998–1999,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Fantasy",English,USA,6.6
Kim Possible,series,TV-G,2002–2007,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Mystery, Romance, Sci-Fi",English,"USA, Philippines, South Korea",7.2
Little Einsteins,series,TV-Y,2005–2009,"November 12, 2019","Animation, Adventure, Comedy, Family",English,USA,6.2
Mighty Ducks,series,TV-Y7,1996–1997,"November 12, 2019","Animation, Action, Comedy, Family, Sci-Fi, Sport",English,USA,6.5
Recess,series,TV-Y,1997–2001,"November 12, 2019","Animation, Adventure, Comedy, Family",English,USA,7.8
The Emperor's New School,series,TV-G,2006–2008,"November 12, 2019","Animation, Short, Adventure, Comedy, Family, Fantasy",English,USA,6.6
The Kid,movie,PG,2000,"November 12, 2019","Comedy, Family, Fantasy",English,USA,6.1
The Little Mermaid,series,TV-Y,1992–1994,"November 12, 2019","Animation, Adventure, Drama, Family, Fantasy",English,USA,6.8
African Cats,movie,G,2011,"November 12, 2019","Documentary, Adventure",English,USA,7.6
Bears,movie,G,2014,"November 12, 2019","Documentary, Family",English,USA,7.4
Born in China,movie,G,2016,"November 12, 2019",Documentary,"English, Chinese","UK, China, USA",7.2
Chimpanzee,movie,G,2012,"November 12, 2019","Documentary, Family",English,"Tanzania, USA",7.2
The Crimson Wing: Mystery of the Flamingos,movie,G,2008,"November 12, 2019",Documentary,English,"USA, UK",7.3
Monkey Kingdom,movie,G,2015,"November 12, 2019",Documentary,English,USA,7.3
Penguins,movie,G,2019,"April 3, 2020","Documentary, Family",English,USA,6.9
Disneynature: Wings of Life,movie,G,2011,"November 12, 2019","Documentary, Family, News",English,"USA, Panama, Mexico",7.4
Doc McStuffins,series,G,2012–,"November 12, 2019","Animation, Short, Family, Fantasy, Music, Musical",English,"USA, Ireland",6.8
Doctor Dolittle,movie,PG-13,1998,"April 1, 2020","Comedy, Family, Fantasy",English,USA,5.4
Dr. Dolittle 2,movie,PG,2001,"March 1, 2020","Comedy, Family, Fantasy",English,USA,4.7
Dog Whisperer with Cesar Millan,series,TV-G,2004–2016,"November 12, 2019","Family, Reality-TV",English,USA,8.0
Dolphin Reef,movie,G,2020,"April 3, 2020","Documentary, Family",English,USA,7.6
Don's Fountain of Youth,movie,APPROVED,1953,"April 3, 2020","Animation, Short, Comedy",English,USA,7.4
Don't Look Under the Bed,movie,TV-PG,1999,"November 12, 2019","Family, Fantasy",English,USA,6.9
Double Teamed,movie,TV-G,2002,"November 12, 2019","Biography, Drama, Family, Sport",English,USA,6.1
Doug's 1st Movie,movie,G,1999,"November 12, 2019","Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",English,USA,5.0
Drain the Great Lakes,movie,TV-G,2011,"January 1, 2020",Documentary,English,"UK, Canada, USA",7.5
Drain the Ocean: WWII,movie,TV-PG,2016,"January 1, 2020",History,English,USA,7.2
Drain the Oceans,series,TV-PG,2018–,"November 12, 2019","Documentary, History, Mystery",English,"UK, Australia",7.6
DuckTales,series,TV-Y,2017–,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi",English,USA,8.2
DuckTales the Movie: Treasure of the Lost Lamp,movie,G,1990,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy",English,"France, USA",6.9
Dug's Special Mission,movie,TV-PG,2009,"November 12, 2019","Animation, Short, Comedy, Family",English,USA,7.0
Dumbo,movie,PG,2019,"November 12, 2019","Adventure, Family, Fantasy","English, French","USA, UK, Australia, Canada",6.3
Eddie's Million Dollar Cook-Off,movie,TV-G,2003,"November 12, 2019","Comedy, Family, Sport",English,USA,6.0
Eight Below,movie,PG,2006,"November 12, 2019","Adventure, Drama, Family",English,USA,7.3
Elena of Avalor,series,TV-Y,2016–,"November 12, 2019","Animation, Action, Adventure, Family, Fantasy, Musical",English,USA,6.4
Elmer Elephant,movie,Approved,1936,"April 3, 2020","Family, Animation, Short, Comedy",English,USA,7.0
Emil and the Detectives,movie,PG,1964,"November 12, 2019","Comedy, Family, Drama, Crime",English,USA,6.2
Encore!,series,TV-PG,2019–,"November 12, 2019","Musical, Reality-TV",English,USA,7.2
Escape to Witch Mountain,movie,G,1975,"November 12, 2019","Adventure, Family, Fantasy, Mystery, Sci-Fi",English,USA,6.4
Even Stevens,series,TV-G,2000–2003,"November 12, 2019","Comedy, Family",English,USA,7.6
Fantasia,movie,G,1940,"November 12, 2019","Animation, Family, Fantasy, Music",English,USA,7.8
Fantasia 2000,movie,G,1999,"November 12, 2019","Animation, Comedy, Family, Fantasy, Music",English,USA,7.2
Ferdinand the Bull,movie,Approved,1938,"November 12, 2019","Animation, Short, Comedy, Family",English,USA,7.2
Finding Dory,movie,PG,2016,"November 12, 2019","Animation, Adventure, Comedy, Family","English, Indonesian",USA,7.3
Finding Nemo,movie,G,2003,"November 12, 2019","Animation, Adventure, Comedy, Family",English,"USA, Australia",8.1
